"Time","State","Local","Remote","OwningPid","ProcessName","Sample"
"2026-04-05T23:44:41.0940078+08:00","TimeWait","127.0.0.1:13263","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0940078+08:00","TimeWait","127.0.0.1:13265","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0783923+08:00","TimeWait","127.0.0.1:13266","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0783923+08:00","TimeWait","127.0.0.1:13267","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0783923+08:00","TimeWait","127.0.0.1:13268","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0627586+08:00","TimeWait","127.0.0.1:13269","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0627586+08:00","TimeWait","127.0.0.1:13270","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0627586+08:00","TimeWait","127.0.0.1:13271","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0472092+08:00","TimeWait","127.0.0.1:13272","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0472092+08:00","TimeWait","127.0.0.1:13274","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0472092+08:00","TimeWait","127.0.0.1:13275","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0315072+08:00","TimeWait","127.0.0.1:13276","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.0315072+08:00","TimeWait","127.0.0.1:13277","127.0.0.1:49350","0","Idle","1"
